
Iteration	Jx1	Jx2	Jx3
1	1.200000	0.433333	2.333333	
2	1.493333	1.502222	2.702222	
3	1.139556	1.804593	2.893926	
4	1.056948	1.927980	2.959802	
5	1.020768	1.972978	2.985038	
6	1.007816	1.989913	2.994402	
7	1.002915	1.996229	2.997909	
8	1.001090	1.998591	2.999218	
9	1.000407	1.999473	2.999708	
10	1.000152	1.999803	2.999891	
11	1.000057	1.999926	2.999959	
12	1.000021	1.999973	2.999985	
13	1.000008	1.999990	2.999994	
14	1.000003	1.999996	2.999998	
15	1.000001	1.999999	2.999999	
16	1.000000	1.999999	3.000000	
17	1.000000	2.000000	3.000000	
18	1.000000	2.000000	3.000000	
19	1.000000	2.000000	3.000000	
20	1.000000	2.000000	3.000000	
